"","Iteration","Best","Average"
"1",1,0.00414643207096976,4.11144075321906
"2",2,0.00414643207096976,3.53412589266776
"3",3,0,3.02202680273336
"4",4,0,2.64489751144694
"5",5,0,2.15847316690469
"6",6,0,1.95551318251456
"7",7,0,1.92291838502309
"8",8,0,1.76621590377386
"9",9,0,1.57658516949143
"10",10,0,1.24910651037887
"11",11,0,1.26933897062797
"12",12,0,1.16191332843249
"13",13,0,1.12604199707722
"14",14,0,1.22016959752762
"15",15,0,1.38246867083365
"16",16,0,1.38385741270496
"17",17,0,1.24017118133721
"18",18,0,0.992162239019545
"19",19,0,0.910069568965854
"20",20,0,0.866996311684069
"21",21,0,1.04245046473731
"22",22,0,1.00790493991148
"23",23,0,1.00692879454601
"24",24,0,1.13959039104387
"25",25,0,1.21721232954231
"26",26,0,1.22111211435116
"27",27,0,1.25884015103923
"28",28,0,1.24643405854014
"29",29,0,1.12353276031966
"30",30,0,1.14466328386309
"31",31,0,1.07373592390444
"32",32,0,1.122543008389
"33",33,0,1.06448495342314
"34",34,0,1.20534231416624
"35",35,0,1.29747195415498
"36",36,0,1.21607557496197
"37",37,0,1.24290073694007
"38",38,0,1.28156160091571
"39",39,0,1.0860971776724
"40",40,0,1.01078853759617
"41",41,0,0.994226721402433
"42",42,0,1.07123008672174
"43",43,0,1.21789479308979
"44",44,0,1.17326349342379
"45",45,0,0.95804488271556
"46",46,0,0.928700069561933
"47",47,0,1.03726278259725
"48",48,0,0.998383501188097
"49",49,0,0.903678348728627
"50",50,0,0.941864883804521
"51",51,0,0.89924844365105
"52",52,0,1.0006547502558
"53",53,0,1.1240872576543
"54",54,0,1.04385835995826
"55",55,0,0.942132024973852
"56",56,0,1.06983275036989
"57",57,0,1.28261562778338
"58",58,0,1.36484972910395
"59",59,0,1.39739039917964
"60",60,0,1.46534319892337
"61",61,0,1.14091010656783
"62",62,0,0.938847409174541
"63",63,0,0.920547849073232
"64",64,0,0.935622935047092
"65",65,0,1.18485602754534
"66",66,0,1.47653644868091
"67",67,0,1.64534783359079
"68",68,0,1.34487007136327
"69",69,0,1.29079260412989
"70",70,0,1.03216211773645
"71",71,0,0.959220427402552
"72",72,0,0.997537547927911
"73",73,0,0.981383318445424
