Iteration,Fitness
0,-17.622533841526213
0,-17.62776052356026
0,-17.62594123041741
0,-17.62466800205414
0,-10.432604422580553
0,-17.62868097915488
0,-17.630338130376522
0,-17.629789159464348
0,-10.559276137578944
0,-9.169884173685878
0,-17.630241859742075
0,-17.63340121055186
0,-10.273539897818946
0,-17.632664815704373
0,-9.37212616803769
0,-17.634598898252815
0,-17.634177886851706
0,-12.099758735906098
0,-8.331150424190293
0,-11.636977277877381
0,-17.635469465668493
0,-12.756933874122698
0,-17.63455559583156
0,-17.637763942378825
0,-17.638266258146874
0,-17.62511941821768
0,-17.63969296622767
0,-17.63899351798654
0,-17.64159954166187
0,-11.301714470643295
0,-12.766468535978596
0,-11.98661921041197
0,-14.102984382646655
0,-11.704185757817758
0,-12.718138738157636
0,-17.355649177758202
0,-17.637704606414733
0,-10.856610227738743
0,-14.690587975811907
0,-17.642610045759167
1,-18.332886619095337
1,-18.334075336639614
1,-17.62594123041741
1,-17.62466800205414
1,-10.432604422580553
1,-18.332734900960926
1,-17.630338130376522
1,-18.32885203053165
1,-10.559276137578944
1,-9.169884173685878
1,-17.630241859742075
1,-18.333432522553707
1,-10.273539897818946
1,-18.329109988448394
1,-9.37212616803769
1,-17.634598898252815
1,-18.33207921029024
1,-18.332505276987437
1,-18.3344977456063
1,-11.636977277877381
1,-18.33496899664031
1,-18.3317794974926
1,-18.33098306323538
1,-17.637763942378825
1,-17.638266258146874
1,-17.62511941821768
1,-18.332073998789934
1,-17.63899351798654
1,-17.64159954166187
1,-18.337828690320435
1,-18.34106198891164
1,-11.98661921041197
1,-18.341099302036703
1,-18.334635510951827
1,-12.718138738157636
1,-18.338962805039916
1,-18.344143636639412
1,-18.346012371709698
1,-14.690587975811907
1,-17.642610045759167
2,-18.332886619095337
2,-18.346039428761806
2,-18.343723227987454
2,-17.62466800205414
2,-10.432604422580553
2,-18.344490468822062
2,-17.630338130376522
2,-18.32885203053165
2,-18.346062086537643
2,-9.169884173685878
2,-17.630241859742075
2,-18.333432522553707
2,-10.273539897818946
2,-18.345794595907325
2,-9.37212616803769
2,-18.35055021140392
2,-18.349266381983
2,-18.354068146560564
2,-18.3548237946125
2,-18.35195977209429
2,-18.33496899664031
2,-18.3317794974926
2,-18.356312277898645
2,-18.35376741322063
2,-17.638266258146874
2,-18.350596522929333
2,-18.332073998789934
2,-18.360086048029196
2,-18.352691269883728
2,-18.337828690320435
2,-18.34106198891164
2,-11.98661921041197
2,-18.365507640003102
2,-18.3642865074455
2,-18.36427113849515
2,-18.338962805039916
2,-18.363559377617776
2,-18.367700395238504
2,-18.368180237562555
2,-17.642610045759167
3,-18.332886619095337
3,-18.346039428761806
3,-18.366925361164164
3,-17.62466800205414
3,-10.432604422580553
3,-18.344490468822062
3,-18.368351702700274
3,-18.32885203053165
3,-18.346062086537643
3,-9.169884173685878
3,-17.630241859742075
3,-18.333432522553707
3,-10.273539897818946
3,-18.345794595907325
3,-9.37212616803769
3,-18.35055021140392
3,-18.349266381983
3,-18.354068146560564
3,-18.37000332918414
3,-18.35195977209429
3,-18.33496899664031
3,-18.374811591420745
3,-18.356312277898645
3,-18.35376741322063
3,-17.638266258146874
3,-18.375538263177667
3,-18.332073998789934
3,-18.360086048029196
3,-18.352691269883728
3,-18.337828690320435
3,-18.375200417201146
3,-11.98661921041197
3,-18.365507640003102
3,-18.3642865074455
3,-18.380289640482598
3,-18.380030557961447
3,-18.384054407003777
3,-18.38316150060235
3,-18.368180237562555
3,-17.642610045759167
4,-18.332886619095337
4,-18.385647313958486
4,-18.39051228861318
4,-18.38997708558549
4,-10.432604422580553
4,-18.344490468822062
4,-18.368351702700274
4,-18.32885203053165
4,-18.346062086537643
4,-9.169884173685878
4,-18.391189047007444
4,-18.395900935689767
4,-10.273539897818946
4,-18.400545188521736
4,-9.37212616803769
4,-18.35055021140392
4,-18.349266381983
4,-18.354068146560564
4,-18.395327111679084
4,-18.397875566623682
4,-18.398838236804792
4,-18.374811591420745
4,-18.356312277898645
4,-18.400455875866438
4,-18.398412781412446
4,-18.39844912542771
4,-18.396479542887633
4,-18.360086048029196
4,-18.352691269883728
4,-18.337828690320435
4,-18.39644048779142
4,-11.98661921041197
4,-18.40357085624843
4,-18.3642865074455
4,-18.406138123591653
4,-18.380030557961447
4,-18.384054407003777
4,-18.4036909219649
4,-18.402816826429856
4,-17.642610045759167
5,-18.407127071432537
5,-18.385647313958486
5,-18.408091660279066
5,-18.38997708558549
5,-18.406246825239098
5,-18.344490468822062
5,-18.368351702700274
5,-18.32885203053165
5,-18.40593775265887
5,-18.402386234841735
5,-18.391189047007444
5,-18.395900935689767
5,-10.273539897818946
5,-18.40742618797529
5,-18.412635948803914
5,-18.41132856232653
5,-18.40905034735413
5,-18.354068146560564
5,-18.414035545205703
5,-18.397875566623682
5,-18.398838236804792
5,-18.414618816427947
5,-18.41624989278686
5,-18.400455875866438
5,-18.414916661680646
5,-18.415433767319197
5,-18.396479542887633
5,-18.417027468084026
5,-18.352691269883728
5,-18.337828690320435
5,-18.41547222943422
5,-18.418134276787598
5,-18.40357085624843
5,-18.423994464310063
5,-18.406138123591653
5,-18.380030557961447
5,-18.384054407003777
5,-18.4036909219649
5,-18.402816826429856
5,-18.42363412038035
6,-18.426244863960044
6,-18.425463577150968
6,-18.408091660279066
6,-18.38997708558549
6,-18.42324619631293
6,-18.344490468822062
6,-18.368351702700274
6,-18.32885203053165
6,-18.40593775265887
6,-18.402386234841735
6,-18.42475134023639
6,-18.426901780157618
6,-18.423330915751222
6,-18.43008840467487
6,-18.412635948803914
6,-18.429145323832067
6,-18.429091081128156
6,-18.354068146560564
6,-18.414035545205703
6,-18.397875566623682
6,-18.398838236804792
6,-18.414618816427947
6,-18.43132349605945
6,-18.430707851522598
6,-18.43191891579961
6,-18.415433767319197
6,-18.396479542887633
6,-18.432089780526816
6,-18.433726236033024
6,-18.433990474203064
6,-18.41547222943422
6,-18.43585830497682
6,-18.40357085624843
6,-18.439952021729468
6,-18.406138123591653
6,-18.444068850069215
6,-18.384054407003777
6,-18.4036909219649
6,-18.443288020322406
6,-18.42363412038035
7,-18.426244863960044
7,-18.442526519600005
7,-18.408091660279066
7,-18.443948956572477
7,-18.444030295860742
7,-18.44834983888513
7,-18.368351702700274
7,-18.44733228707133
7,-18.40593775265887
7,-18.447330661529005
7,-18.44955027064111
7,-18.448960450020813
7,-18.44838790953501
7,-18.43008840467487
7,-18.451735542287146
7,-18.450828600066526
7,-18.429091081128156
7,-18.457899640312046
7,-18.414035545205703
7,-18.45835608365284
7,-18.462240729729018
7,-18.46228083834994
7,-18.460222002710193
7,-18.46469966133506
7,-18.47137014645851
7,-18.47339788900602
7,-18.469302297473448
7,-18.432089780526816
7,-18.46867334732949
7,-18.47376205648986
7,-18.47325264636863
7,-18.473871300482884
7,-18.40357085624843
7,-18.476496950305528
7,-18.4730777262083
7,-18.476397510819925
7,-18.384054407003777
7,-18.4036909219649
7,-18.443288020322406
7,-18.481729674234302
8,-18.426244863960044
8,-18.476368242952223
8,-18.47971744984802
8,-18.443948956572477
8,-18.444030295860742
8,-18.44834983888513
8,-18.368351702700274
8,-18.479617286824727
8,-18.40593775265887
8,-18.447330661529005
8,-18.47830129517921
8,-18.48114407253324
8,-18.44838790953501
8,-18.43008840467487
8,-18.451735542287146
8,-18.450828600066526
8,-18.487145019048164
8,-18.488366935017872
8,-18.414035545205703
8,-18.489610093765926
8,-18.462240729729018
8,-18.489781105083306
8,-18.490237914522975
8,-18.46469966133506
8,-18.49471063619988
8,-18.47339788900602
8,-18.469302297473448
8,-18.432089780526816
8,-18.493599703335793
8,-18.489237734136797
8,-18.47325264636863
8,-18.49570500096672
8,-18.40357085624843
8,-18.49201521795197
8,-18.4730777262083
8,-18.4960128487538
8,-18.49611449248553
8,-18.4036909219649
8,-18.49436325987493
8,-18.494744564028323
9,-18.49519193013243
9,-18.476368242952223
9,-18.47971744984802
9,-18.495358061044683
9,-18.49819592406845
9,-18.499378951164434
9,-18.368351702700274
9,-18.479617286824727
9,-18.40593775265887
9,-18.498237607972793
9,-18.506203564402433
9,-18.50902493067187
9,-18.44838790953501
9,-18.505858237271283
9,-18.50670732053522
9,-18.507726295738756
9,-18.487145019048164
9,-18.488366935017872
9,-18.51278607228989
9,-18.489610093765926
9,-18.462240729729018
9,-18.509421728544844
9,-18.490237914522975
9,-18.46469966133506
9,-18.512073653115163
9,-18.47339788900602
9,-18.469302297473448
9,-18.51215766276553
9,-18.493599703335793
9,-18.489237734136797
9,-18.47325264636863
9,-18.49570500096672
9,-18.40357085624843
9,-18.513617377018917
9,-18.4730777262083
9,-18.4960128487538
9,-18.51698296955117
9,-18.514965761251915
9,-18.514394373481355
9,-18.520088556590352
10,-18.49519193013243
10,-18.476368242952223
10,-18.520705450604307
10,-18.495358061044683
10,-18.524201230730995
10,-18.499378951164434
10,-18.526532123454807
10,-18.530250094421238
10,-18.40593775265887
10,-18.52523998403869
10,-18.529122191204195
10,-18.50902493067187
10,-18.53243491519145
10,-18.531652921096363
10,-18.529661533304356
10,-18.507726295738756
10,-18.487145019048164
10,-18.488366935017872
10,-18.533514468551864
10,-18.489610093765926
10,-18.52889167875345
10,-18.53522252348923
10,-18.490237914522975
10,-18.532279908327556
10,-18.53508222297094
10,-18.47339788900602
10,-18.469302297473448
10,-18.53421139220355
10,-18.541693648789966
10,-18.489237734136797
