Iteration,Phase,Id,X,Y,Weight
50,,15,,,
0,0,0,363.60568192999676,422.16423115857623,25.0
0,0,1,307.5344180308374,0,25.0
0,0,2,142.74364454434198,536.2471466131831,25.0
0,0,3,123.10438408595874,208.3857718733928,25.0
0,0,4,188.10637702446127,123.98170482837773,25.0
0,0,5,421.3553777146179,75.07072598558602,25.0
0,0,6,0,481.8353666981734,25.0
0,0,7,94.46743542402714,480.2745517471505,25.0
0,0,8,102.2926147837158,415.4827420946723,25.0
0,0,9,95.09872649572242,550.7872065889215,25.0
0,0,10,293.73995902055856,352.22152458851224,25.0
0,0,11,241.82734873528483,435.5273735743724,25.0
0,0,12,294.09676591846875,472.3282074669063,25.0
0,0,13,482.8444200747164,369.32893957252253,25.0
0,0,14,497.4434363550133,275.8984646832684,25.0
0,1,0,363.60568192999676,422.16423115857623,25.0
0,1,1,309.0564396688609,0,25.023066299232262
0,1,2,142.74364454434198,536.2471466131831,25.0
0,1,3,123.10438408595874,208.3857718733928,25.0
0,1,4,188.10637702446127,123.98170482837773,25.0
0,1,5,421.3553777146179,75.07072598558602,25.0
0,1,6,0,468.67373282470896,25.548869153730365
0,1,7,94.46743542402714,480.2745517471505,25.0
0,1,8,102.2926147837158,415.4827420946723,25.0
0,1,9,95.09872649572242,550.7872065889215,25.0
0,1,10,293.73995902055856,352.22152458851224,25.0
0,1,11,316.8695275916276,377.39972195385684,26.0
0,1,12,297.91920667153556,481.17626837978526,25.050035249794533
0,1,13,482.8444200747164,369.32893957252253,25.0
0,1,14,497.4434363550133,275.8984646832684,25.0
0,2,0,0,186.54460123212291,25.0
0,2,1,17.83778654278609,600,25.023066299232262
0,2,2,598.5115046954563,525.1813039525441,25.0
0,2,3,543.7932238131986,483.4011715767123,25.0
0,2,4,385.12773499263955,600,25.0
0,2,5,223.5831592853146,554.238915356066,25.0
0,2,6,600,355.1965402376398,25.548869153730365
0,2,7,290.2504795569358,0,25.0
0,2,8,149.27771732088644,314.7963829385328,25.0
0,2,9,600,410.12665524000784,25.0
0,2,10,223.64010469422533,308.65035608854447,25.0
0,2,11,218.52873874819318,220.3231277049407,26.0
0,2,12,103.90500739468649,205.49313747310384,25.050035249794533
0,2,13,256.90853624536936,294.0546754600087,25.0
0,2,14,0,385.38148927337124,25.0
1,0,0,0,186.54460123212291,25.0
1,0,1,17.83778654278609,600,25.023066299232262
1,0,2,598.5115046954563,525.1813039525441,25.0
1,0,3,543.7932238131986,483.4011715767123,25.0
1,0,4,359.0926239212868,574.7449941902557,25.0
1,0,5,223.5831592853146,554.238915356066,25.0
1,0,6,600,355.1965402376398,25.548869153730365
1,0,7,303.6806619853089,0,25.0
1,0,8,149.27771732088644,314.7963829385328,25.0
1,0,9,600,410.12665524000784,25.0
1,0,10,223.64010469422533,308.65035608854447,25.0
1,0,11,234.6936655861366,226.65470809039243,26.0
1,0,12,122.67196837137018,207.6226493796213,25.050035249794533
1,0,13,256.90853624536936,294.0546754600087,25.0
1,0,14,0,363.5026116125195,25.0
1,1,0,0.0,186.54460123212291,25.0
1,1,1,17.83778654278609,600.0,25.023066299232262
1,1,2,598.5115046954563,525.1813039525441,25.0
1,1,3,543.7932238131986,483.4011715767123,25.0
1,1,4,355.67459768624303,571.4293842745803,25.424035002624745
1,1,5,223.5831592853146,554.238915356066,25.0
1,1,6,600.0,355.1965402376398,25.548869153730365
1,1,7,304.86783468081234,0.0,25.285507642570458
1,1,8,149.27771732088644,314.7963829385328,25.0
1,1,9,600.0,410.12665524000784,25.0
1,1,10,223.64010469422533,308.65035608854447,25.0
1,1,11,239.6314491334358,228.58877025900682,26.986606688847093
1,1,12,125.77314501001487,207.9745439982765,25.583761180690118
1,1,13,256.90853624536936,294.0546754600087,25.0
1,1,14,0.0,356.7287036853746,26.0
1,2,0,14.63054807451374,262.8578882367053,25.0
1,2,1,32.18045936983344,512.0113929141082,25.023066299232262
1,2,2,526.5782705934878,471.1494355994024,25.0
1,2,3,430.7647217917641,429.50101356793573,25.0
1,2,4,348.91604445726097,472.37746310017167,25.424035002624745
