Iteration,Phase,Id,X,Y,Weight
20,,15,,,
0,0,0,272.1287194207469,86.45953146851002,10.0
0,0,1,598.4236965830346,500.0806724266004,10.0
0,0,2,525.7978497880011,172.58492837714036,10.0
0,0,3,228.95053870418775,189.83760839680178,10.0
0,0,4,237.40483209922405,334.88590249768623,10.0
0,0,5,460.56516941848315,506.35644244439953,10.0
0,0,6,152.78963711861547,350.21669862739594,10.0
0,0,7,270.4859027528247,109.114413642877,10.0
0,0,8,414.0787685674127,176.71826814099313,10.0
0,0,9,534.3096608828362,542.9196660916415,10.0
0,0,10,223.54210878546633,476.4357205889024,10.0
0,0,11,88.45017173125387,142.28368166146086,10.0
0,0,12,449.1028549835424,331.5787641813281,10.0
0,0,13,600,0,10.0
0,0,14,453.3080673814594,343.40563430398197,10.0
0,1,0,272.1287194207469,86.45953146851002,10.0
0,1,1,598.4236965830346,500.0806724266004,10.0
0,1,2,525.7978497880011,172.58492837714036,10.0
0,1,3,228.95053870418775,189.83760839680178,10.0
0,1,4,237.40483209922405,334.88590249768623,10.0
0,1,5,460.56516941848315,506.35644244439953,10.0
0,1,6,179.28273412903619,447.29186077414636,11.0
0,1,7,270.4859027528247,109.114413642877,10.0
0,1,8,423.6069674818999,190.29318473166268,10.561312731859287
0,1,9,534.3096608828362,542.9196660916415,10.0
0,1,10,223.54210878546633,476.4357205889024,10.0
0,1,11,88.45017173125387,142.28368166146086,10.0
0,1,12,458.6602553861226,330.26351288363344,10.063539608693391
0,1,13,600,0,10.487967471244831
0,1,14,453.3080673814594,343.40563430398197,10.0
0,2,0,600,600,10.0
0,2,1,324.63394738052654,0,10.0
0,2,2,0,600,10.0
0,2,3,530.6728787334483,600,10.0
0,2,4,600,277.47559903289715,10.0
0,2,5,0,0,10.0
0,2,6,600,195.73973798279405,11.0
0,2,7,600,600,10.0
0,2,8,147.1350196461888,532.4765349233153,10.561312731859287
0,2,9,0,0,10.0
0,2,10,564.6234260471098,3.218380717079299,10.0
0,2,11,600,600,10.0
0,2,12,0.9281577811777311,0,10.063539608693391
0,2,13,0,600,10.487967471244831
0,2,14,194.37380631686068,193.45205712680587,10.0
1,0,0,600,600,10.0
1,0,1,324.63394738052654,0,10.0
1,0,2,0,600,10.0
1,0,3,530.6728787334483,600,10.0
1,0,4,600,234.59182351836375,10.0
1,0,5,0,0.5837923513332726,10.0
1,0,6,600,232.5267510159876,11.0
1,0,7,600,600,10.0
1,0,8,147.1350196461888,532.4765349233153,10.561312731859287
1,0,9,0,0,10.0
1,0,10,546.767315432317,25.873426475475014,10.0
1,0,11,600,600,10.0
1,0,12,0.9281577811777311,0,10.063539608693391
1,0,13,0,600,10.487967471244831
1,0,14,194.37380631686068,193.45205712680587,10.0
1,1,0,600.0,600.0,10.0
1,1,1,324.63394738052654,0.0,10.0
1,1,2,0.0,600.0,10.0
1,1,3,530.6728787334483,600.0,10.0
1,1,4,600.0,214.85812573851865,11.0
1,1,5,0.0,0.5848143776934194,10.003804418087467
1,1,6,600.0,246.35530382514048,11.816895958703633
1,1,7,600.0,600.0,10.0
1,1,8,147.1350196461888,532.4765349233153,10.561312731859287
1,1,9,0.0,0.0,10.0
1,1,10,543.8715222465481,29.547481175611836,10.352423788429089
1,1,11,600.0,600.0,10.0
1,1,12,0.9281577811777311,0.0,10.063539608693391
1,1,13,0.0,600.0,10.487967471244831
1,1,14,194.37380631686068,193.45205712680587,10.0
1,2,0,407.0296111092804,515.1146910322447,10.0
