Iteration,Id,X,Y
50,30,,
0,0,377.711602344386,291.92024864662227
0,1,377.65066857572106,291.98800812714836
0,2,377.7028070501515,292.0188522650276
0,3,211.3669509590029,212.74993321623376
0,4,377.6693618974126,291.941420732504
0,5,220.29230432180182,156.53740228541378
0,6,377.6985448133678,291.9787130765728
0,7,377.5881325766128,292.067028289154
0,8,377.6475573421389,292.09035591067095
0,9,377.4928079869616,292.02189391954187
0,10,377.4621551913972,292.0995454228563
0,11,377.4724884850408,292.04087662198197
0,12,377.4866677103905,292.1079144394394
0,13,377.43735500129515,292.0553879483852
0,14,377.42455579208297,292.1231528055107
0,15,377.43968199161236,292.181643078379
0,16,377.4203026015027,292.15835828022534
0,17,377.4615218739992,292.2139376857093
0,18,377.4256128885635,292.2385376533651
0,19,377.4222698344938,292.1723204869743
0,20,377.40521080594687,292.1646023823572
0,21,377.47768113579707,292.2273664778471
0,22,377.3470655451275,292.28027077119555
0,23,377.32011376336976,292.186961019722
0,24,237.51866869409565,401.3303546689374
0,25,377.2844342323228,292.3470275631827
0,26,377.3284825959246,292.404131343285
0,27,377.2568291202283,292.32529645855396
0,28,377.2542240997022,292.26018056916615
0,29,377.32076260428886,292.33061196698145
1,0,377.2663906685458,292.3659291420298
1,1,377.65066857572106,291.98800812714836
1,2,377.19348774925857,292.35759090818635
1,3,377.17279064817586,292.34705154209945
1,4,377.22236280753077,292.3217969169871
1,5,377.17872146816495,292.3808209995337
1,6,377.2365051838403,292.3867304990834
1,7,377.2172893636427,292.31802521007177
1,8,377.1518756777223,292.3969224374951
1,9,377.11360766460353,292.4163731580113
1,10,377.0740786708704,292.40406625361845
1,11,377.0588451221997,292.46169152348165
1,12,376.90997251838144,292.49686759698943
1,13,376.9544932224383,292.5782088963933
1,14,377.0202359562809,292.5180775932523
1,15,377.43968199161236,292.181643078379
1,16,377.00212294847563,292.5587615760547
1,17,376.798122983281,292.39540416908295
1,18,376.84112668097987,292.3918032121294
1,19,376.78799871233014,292.29810414326755
1,20,376.8617903644374,292.33150640919723
1,21,376.7494213238678,292.3645170214598
1,22,376.78660372084096,292.3528479583052
1,23,376.68713556512273,292.51507308096836
1,24,376.6944348064245,292.51012375128704
1,25,376.705185056882,292.5031497244891
1,26,376.7148347513026,292.4869947232532
1,27,376.6837710475546,292.51933924244463
1,28,376.74590520349585,292.45700939800685
1,29,376.62712504813413,292.62987820589194
2,0,376.6340970383015,292.64539587569647
2,1,376.6076858286598,292.6976035384148
2,2,376.53657680225797,292.612841979239
2,3,376.4435252906652,292.6085438701546
2,4,376.53023620531224,292.5947495779443
2,5,376.3745178773128,292.6514768749199
2,6,376.4658762853735,292.60638413123263
2,7,376.33723623707374,292.68135097810574
2,8,376.44327523843504,292.68824505297323
2,9,376.27025981891205,292.66548584813756
2,10,376.26339179420984,292.5983626361034
2,11,376.23263326251487,292.6632714917736
2,12,376.319740886035,292.6065140018692
2,13,376.21379264525467,292.76118921357136
2,14,376.1995520652077,292.7397948607237
2,15,376.10775425255133,292.7610115419075
2,16,376.0668104940247,292.65134334244283
2,17,376.08584606758205,292.62967646136275
2,18,376.069345371463,292.7332442143037
2,19,376.1149659648961,292.7117795526197
2,20,375.95639156178055,292.79897544202476
2,21,375.9827882690141,292.7935625824775
2,22,375.8404531864956,292.73969930537606
2,23,375.83196684869256,292.73579066309117
2,24,375.7602965018434,292.77256154626195
2,25,375.7901292407836,292.80245418427893
2,26,375.8730884450202,292.7837539749609
2,27,375.76508254922567,292.8055744952883
2,28,375.79770571439155,292.7090133272056
2,29,375.7429107328824,292.8042858852166
3,0,375.8068528960464,292.9212470789421
3,1,376.6076858286598,292.6976035384148
3,2,375.72807633786937,292.841973945561
3,3,375.80209684831345,292.94880540561246
3,4,375.78473076812554,292.8175549853164
3,5,375.7727287117091,292.7914448568373
3,6,375.70923891137653,292.80731057359486
3,7,375.77035546982904,292.8666213682328
3,8,375.66117761754595,292.923915810351
3,9,375.66260563322,292.9981676346321
3,10,375.7301214972242,293.0357567672164
3,11,375.6473344109749,292.980767056356
3,12,375.656266916694,292.9718196224007
3,13,375.59103945165094,293.0011372741211
3,14,376.1995520652077,292.7397948607237
3,15,375.6026109990019,293.0716669723794
3,16,375.56555052874967,293.1323011940096
3,17,376.08584606758205,292.62967646136275
3,18,375.695975289546,293.0832085707144
3,19,375.56475820843144,293.15258656928347
3,20,375.5783121183875,293.1362215845273
3,21,375.54032360371696,293.18307403951167
3,22,375.4569012606661,293.22970631805435
3,23,375.4250392322406,293.2583788965661
3,24,375.4608483007769,293.3110928453884
3,25,375.7901292407836,292.80245418427893
3,26,375.48897847004537,293.2304341950265
3,27,375.3828752162599,293.3231852343215
3,28,375.383907725111,293.29512113789576
3,29,375.4826801167909,293.399344224843
4,0,375.49727151150887,293.4087245151166
4,1,375.49614224842844,293.26477328775286
4,2,375.35580089764085,293.39963111228695
4,3,375.45893478675305,293.4162112821434
4,4,375.3835870262755,293.3877376169782
4,5,375.32175378652147,293.5065065662654
4,6,375.2480664244773,293.4861420246283
4,7,375.28308112471467,293.55229840317395
4,8,375.1971435171434,293.4593295615287
4,9,375.16089176228843,293.3744398474783
4,10,375.3131861410532,293.41976230172867
4,11,375.1803000949865,293.3451473023336
4,12,375.15955150940005,293.4411887832543
4,13,375.1540244540871,293.4578627942711
4,14,375.0795141878465,293.4712728650378
4,15,375.1135157492556,293.4678129280019
4,16,375.06941571891133,293.46174023867394
4,17,375.1509944273914,293.44926393257094
