Iteration,Phase,Id,X,Y
50,,10,,
0,0,0,432.50070578674536,330.3340524138368
0,0,1,413.6454560096592,194.56222560922419
0,0,2,242.22410933460296,242.66308908104443
0,0,3,598.9955680889967,505.50248717948267
0,0,4,529.2886597943402,103.02709845638466
0,0,5,372.7927568591157,143.60313112321012
0,0,6,232.72107778706558,27.25453594948596
0,0,7,447.0210166186609,146.82124731162986
0,0,8,457.0022730305978,178.32334248048133
0,0,9,298.50582887222373,455.4791396525715
0,1,0,432.50070578674536,330.3340524138368
0,1,1,413.6454560096592,194.56222560922419
0,1,2,242.22410933460296,242.66308908104443
0,1,3,598.9955680889967,505.50248717948267
0,1,4,529.2886597943402,103.02709845638466
0,1,5,372.7927568591157,143.60313112321012
0,1,6,232.72107778706558,27.25453594948596
0,1,7,447.0210166186609,146.82124731162986
0,1,8,457.0022730305978,178.32334248048133
0,1,9,298.50582887222373,455.4791396525715
0,2,0,432.50070578674536,330.3340524138368
0,2,1,413.6454560096592,194.56222560922419
0,2,2,242.22410933460296,242.66308908104443
0,2,3,598.9955680889967,505.50248717948267
0,2,4,529.2886597943402,103.02709845638466
0,2,5,372.7927568591157,143.60313112321012
0,2,6,232.72107778706558,27.25453594948596
0,2,7,447.0210166186609,146.82124731162986
0,2,8,457.0022730305978,178.32334248048133
0,2,9,298.50582887222373,455.4791396525715
1,0,0,432.50070578674536,330.3340524138368
1,0,1,413.6454560096592,194.56222560922419
1,0,2,518.6188218317428,16.05829873425226
1,0,3,506.96323833225244,269.6802182133046
1,0,4,529.2886597943402,103.02709845638466
1,0,5,372.7927568591157,143.60313112321012
1,0,6,198.06052857036573,345.9026435027803
1,0,7,447.0210166186609,146.82124731162986
1,0,8,445.99838650488255,42.88919867893755
1,0,9,336.6479399407352,319.20189187733075
1,1,0,432.50070578674536,330.3340524138368
1,1,1,413.6454560096592,194.56222560922419
1,1,2,518.6188218317428,16.05829873425226
1,1,3,506.96323833225244,269.6802182133046
1,1,4,529.2886597943402,103.02709845638466
1,1,5,372.7927568591157,143.60313112321012
1,1,6,198.06052857036573,345.9026435027803
1,1,7,447.0210166186609,146.82124731162986
1,1,8,445.99838650488255,42.88919867893755
1,1,9,336.6479399407352,319.20189187733075
1,2,0,432.50070578674536,330.3340524138368
1,2,1,413.6454560096592,194.56222560922419
1,2,2,518.6188218317428,16.05829873425226
1,2,3,506.96323833225244,269.6802182133046
1,2,4,529.2886597943402,103.02709845638466
1,2,5,372.7927568591157,143.60313112321012
1,2,6,198.06052857036573,345.9026435027803
1,2,7,447.0210166186609,146.82124731162986
1,2,8,445.99838650488255,42.88919867893755
1,2,9,336.6479399407352,319.20189187733075
2,0,0,432.50070578674536,330.3340524138368
2,0,1,430.8058835877791,223.82332672082694
2,0,2,518.6188218317428,16.05829873425226
2,0,3,550.5977320922689,294.17380855145353
2,0,4,483.88952169285807,119.25727239162704
2,0,5,372.7927568591157,143.60313112321012
2,0,6,198.06052857036573,345.9026435027803
2,0,7,447.0210166186609,146.82124731162986
2,0,8,445.99838650488255,42.88919867893755
2,0,9,132.8739396599365,313.1838344615483
2,1,0,432.50070578674536,330.3340524138368
2,1,1,430.8058835877791,223.82332672082694
2,1,2,518.6188218317428,16.05829873425226
2,1,3,550.5977320922689,294.17380855145353
2,1,4,483.88952169285807,119.25727239162704
2,1,5,372.7927568591157,143.60313112321012
2,1,6,198.06052857036573,345.9026435027803
2,1,7,447.0210166186609,146.82124731162986
2,1,8,445.99838650488255,42.88919867893755
2,1,9,132.8739396599365,313.1838344615483
2,2,0,432.50070578674536,330.3340524138368
2,2,1,430.8058835877791,223.82332672082694
2,2,2,518.6188218317428,16.05829873425226
2,2,3,550.5977320922689,294.17380855145353
2,2,4,483.88952169285807,119.25727239162704
2,2,5,372.7927568591157,143.60313112321012
2,2,6,198.06052857036573,345.9026435027803
2,2,7,447.0210166186609,146.82124731162986
2,2,8,445.99838650488255,42.88919867893755
2,2,9,132.8739396599365,313.1838344615483
3,0,0,432.50070578674536,330.3340524138368
3,0,1,430.8058835877791,223.82332672082694
3,0,2,423.17679750291575,0.0
3,0,3,447.8057417580408,286.37542992325973
3,0,4,483.88952169285807,119.25727239162704
3,0,5,372.7927568591157,143.60313112321012
3,0,6,198.06052857036573,345.9026435027803
3,0,7,444.183985027804,128.56800788874438
3,0,8,445.99838650488255,42.88919867893755
3,0,9,132.8739396599365,313.1838344615483
3,1,0,432.50070578674536,330.3340524138368
3,1,1,430.8058835877791,223.82332672082694
3,1,2,423.17679750291575,0.0
3,1,3,447.8057417580408,286.37542992325973
3,1,4,483.88952169285807,119.25727239162704
3,1,5,372.7927568591157,143.60313112321012
3,1,6,198.06052857036573,345.9026435027803
3,1,7,444.183985027804,128.56800788874438
3,1,8,445.99838650488255,42.88919867893755
3,1,9,132.8739396599365,313.1838344615483
3,2,0,30.830525561986597,291.18826115946865
3,2,1,430.8058835877791,223.82332672082694
3,2,2,423.17679750291575,0.0
3,2,3,447.8057417580408,286.37542992325973
3,2,4,483.88952169285807,119.25727239162704
3,2,5,372.7927568591157,143.60313112321012
3,2,6,198.06052857036573,345.9026435027803
3,2,7,444.183985027804,128.56800788874438
3,2,8,445.99838650488255,42.88919867893755
3,2,9,132.8739396599365,313.1838344615483
4,0,0,30.830525561986597,291.18826115946865
4,0,1,430.8058835877791,223.82332672082694
4,0,2,423.17679750291575,0.0
4,0,3,447.8057417580408,286.37542992325973
4,0,4,477.71084072522524,193.909355751538
4,0,5,372.7927568591157,143.60313112321012
4,0,6,198.06052857036573,345.9026435027803
4,0,7,444.183985027804,128.56800788874438
4,0,8,445.99838650488255,42.88919867893755
4,0,9,132.8739396599365,313.1838344615483
4,1,0,30.830525561986597,291.18826115946865
4,1,1,430.8058835877791,223.82332672082694
4,1,2,423.17679750291575,0.0
4,1,3,447.8057417580408,286.37542992325973
4,1,4,477.71084072522524,193.909355751538
4,1,5,372.7927568591157,143.60313112321012
4,1,6,198.06052857036573,345.9026435027803
4,1,7,444.183985027804,128.56800788874438
4,1,8,445.99838650488255,42.88919867893755
4,1,9,132.8739396599365,313.1838344615483
4,2,0,30.830525561986597,291.18826115946865
4,2,1,430.8058835877791,223.82332672082694
4,2,2,423.17679750291575,0.0
4,2,3,447.8057417580408,286.37542992325973
4,2,4,477.71084072522524,193.909355751538
4,2,5,372.7927568591157,143.60313112321012
4,2,6,198.06052857036573,345.9026435027803
4,2,7,444.183985027804,128.56800788874438
4,2,8,445.99838650488255,42.88919867893755
4,2,9,132.8739396599365,313.1838344615483
5,0,0,1.5271415907554597,303.4987341917972
5,0,1,600.0,312.4112943274896
5,0,2,425.8100607676254,0.0
5,0,3,447.8057417580408,286.37542992325973
5,0,4,477.71084072522524,193.909355751538
5,0,5,372.7927568591157,143.60313112321012
5,0,6,59.1637200136202,312.76714128617766
5,0,7,444.183985027804,128.56800788874438
5,0,8,445.99838650488255,42.88919867893755
5,0,9,132.8739396599365,313.1838344615483
5,1,0,1.5271415907554597,303.4987341917972
5,1,1,600.0,312.4112943274896
5,1,2,425.8100607676254,0.0
5,1,3,447.8057417580408,286.37542992325973
5,1,4,477.71084072522524,193.909355751538
5,1,5,372.7927568591157,143.60313112321012
5,1,6,59.1637200136202,312.76714128617766
5,1,7,444.183985027804,128.56800788874438
5,1,8,445.99838650488255,42.88919867893755
5,1,9,132.8739396599365,313.1838344615483
5,2,0,1.5271415907554597,303.4987341917972
5,2,1,600.0,312.4112943274896
5,2,2,425.8100607676254,0.0
5,2,3,447.8057417580408,286.37542992325973
5,2,4,477.71084072522524,193.909355751538
5,2,5,226.01714874588322,493.36882181029375
5,2,6,59.1637200136202,312.76714128617766
5,2,7,444.183985027804,128.56800788874438
5,2,8,445.99838650488255,42.88919867893755
5,2,9,132.8739396599365,313.1838344615483
6,0,0,1.5271415907554597,303.4987341917972
6,0,1,600.0,312.4112943274896
6,0,2,425.8100607676254,0.0
6,0,3,447.8057417580408,286.37542992325973
6,0,4,477.71084072522524,193.909355751538
6,0,5,116.70464172979602,357.9152498924451
6,0,6,59.1637200136202,312.76714128617766
6,0,7,444.183985027804,128.56800788874438
6,0,8,445.99838650488255,42.88919867893755
6,0,9,132.8739396599365,313.1838344615483
6,1,0,1.5271415907554597,303.4987341917972
6,1,1,600.0,312.4112943274896
6,1,2,425.8100607676254,0.0
6,1,3,447.8057417580408,286.37542992325973
6,1,4,477.71084072522524,193.909355751538
6,1,5,116.70464172979602,357.9152498924451
6,1,6,59.1637200136202,312.76714128617766
6,1,7,444.183985027804,128.56800788874438
6,1,8,445.99838650488255,42.88919867893755
6,1,9,132.8739396599365,313.1838344615483
6,2,0,1.5271415907554597,303.4987341917972
6,2,1,600.0,312.4112943274896
6,2,2,425.8100607676254,0.0
6,2,3,447.8057417580408,286.37542992325973
