"Iteration","Best","Average"
0,0.0528632856692662,10.925691934627
1,0.0012445393044891,9.62690725864742
2,0.0012445393044891,8.82637645601439
3,0.209304038796608,7.26216984644418
4,0.107985661704204,5.59448448694833
5,0.0249053164660767,5.13542459048009
6,0.012708185137545,4.70079137735497
7,0.00841241989677655,4.49817863516433
8,0.00118174465061612,3.9607958561237
9,8.92869965102953e-05,4.28936894739338
10,8.92869965102953e-05,2.82947411152418
11,8.92869965102953e-05,2.37228007133811
12,8.92869965102953e-05,3.0273305563805
13,9.27195837159847e-05,3.80876627478738
14,2.37079704998853e-05,4.70799189821766
15,2.37079704998853e-05,4.47817252940816
16,0.000208169534001688,4.96545454627452
17,0.000111542230398123,5.20215863855347
18,0.000111542230398123,6.08728851489723
19,0.000111542230398123,6.15047817212339
20,0.000434676199724558,5.25643479794948
21,0.00492696726115579,5.67102197607371
22,0.00492696726115579,5.71987983401715
23,0.00428057463195189,5.21395136869997
24,0.00114525828429367,4.66338414470686
25,0.00114525828429367,4.59994093761202
26,0.00118133884465149,4.3060906038143
27,0.00118133884465149,3.75971693069815
28,0.00138188016358105,4.89360428288309
29,0.0111090109097648,5.2876715713176
30,0.00885621320242434,3.49369082232041
31,0.00885621320242434,3.06962118234331
32,0.00709259113588391,3.04949031796386
33,0.000362866884285237,2.82733068350424
34,0.000362866884285237,3.81560411007115
35,0.000123768536938845,6.03201244593938
36,6.68324168804577e-07,6.65150589286598
37,6.68324168804577e-07,6.67730976806233
38,6.68324168804577e-07,6.85946031084512
39,0.0103149721072361,7.41701285549887
40,0.00121746671607188,7.35480851450258
41,0.000712488779810104,8.3697272775704
42,0.000712488779810104,7.48363736558041
43,0.00119012936128575,7.45371564638401
44,0.00499134063065368,6.57837792609265
45,0.0108243074948616,6.90536819216856
46,0.007378221258292,7.38061964228876
47,0.007378221258292,6.34018626782858
48,0.007378221258292,4.94575173270484
49,0.0145752240210278,4.92431008416125
50,0.00970600610452456,5.75851027080734
51,0.00515504947397038,5.5062249930404
52,0.00515504947397038,4.62363115404375
53,0.00515504947397038,5.21316379514869
54,0.0276040686209304,3.57888866979857
55,0.0112521584956752,3.34066567253277
56,0.0112521584956752,4.71136731233285
57,0.00954886480329668,3.57882879543755
58,0.00161901682607794,3.05226713174518
59,0.00161901682607794,2.68110250383766
