Iteration,Phase,Id,X,Y
50,,10,,
0,0,0,600.0,408.1487177825613
0,0,1,30.060278679673893,149.15067599719717
0,0,2,164.0502084260072,292.12638085355474
0,0,3,380.4078030463704,280.11963153570116
0,0,4,33.435873820002094,237.24158775329656
0,0,5,95.25448306139734,366.51202938407874
0,0,6,150.6814513335314,313.33923070125434
0,0,7,442.8779517999576,577.9404346970168
0,0,8,369.8623709459388,498.0087480327051
0,0,9,38.606568085300786,293.5271744355377
0,1,0,600.0,408.1487177825613
0,1,1,30.060278679673893,149.15067599719717
0,1,2,164.0502084260072,292.12638085355474
0,1,3,380.4078030463704,280.11963153570116
0,1,4,33.435873820002094,237.24158775329656
0,1,5,95.25448306139734,366.51202938407874
0,1,6,150.6814513335314,313.33923070125434
0,1,7,442.8779517999576,577.9404346970168
0,1,8,369.8623709459388,498.0087480327051
0,1,9,38.606568085300786,293.5271744355377
0,2,0,600.0,408.1487177825613
0,2,1,30.060278679673893,149.15067599719717
0,2,2,164.0502084260072,292.12638085355474
0,2,3,380.4078030463704,280.11963153570116
0,2,4,33.435873820002094,237.24158775329656
0,2,5,95.25448306139734,366.51202938407874
0,2,6,150.6814513335314,313.33923070125434
0,2,7,442.8779517999576,577.9404346970168
0,2,8,369.8623709459388,498.0087480327051
0,2,9,38.606568085300786,293.5271744355377
1,0,0,600.0,361.7429370755927
1,0,1,6.717612375394324,153.3041407257621
1,0,2,164.0502084260072,292.12638085355474
1,0,3,380.4078030463704,280.11963153570116
1,0,4,5.312471241621547,252.03144048591
1,0,5,95.25448306139734,366.51202938407874
1,0,6,150.6814513335314,313.33923070125434
1,0,7,442.8779517999576,577.9404346970168
1,0,8,369.8623709459388,498.0087480327051
1,0,9,0.0,311.8156335056364
1,1,0,600.0,361.7429370755927
1,1,1,6.717612375394324,153.3041407257621
1,1,2,164.0502084260072,292.12638085355474
1,1,3,380.4078030463704,280.11963153570116
1,1,4,5.312471241621547,252.03144048591
1,1,5,95.25448306139734,366.51202938407874
1,1,6,150.6814513335314,313.33923070125434
1,1,7,442.8779517999576,577.9404346970168
1,1,8,369.8623709459388,498.0087480327051
1,1,9,0.0,311.8156335056364
1,2,0,600.0,361.7429370755927
1,2,1,6.717612375394324,153.3041407257621
1,2,2,164.0502084260072,292.12638085355474
1,2,3,380.4078030463704,280.11963153570116
1,2,4,5.312471241621547,252.03144048591
1,2,5,95.25448306139734,366.51202938407874
1,2,6,150.6814513335314,313.33923070125434
1,2,7,442.8779517999576,577.9404346970168
1,2,8,369.8623709459388,498.0087480327051
1,2,9,0.0,311.8156335056364
2,0,0,600.0,334.01813596393134
2,0,1,6.717612375394324,153.3041407257621
2,0,2,164.0502084260072,292.12638085355474
2,0,3,380.4078030463704,280.11963153570116
2,0,4,4.159333211564298,277.65508532757167
2,0,5,88.50115536195027,348.83272954585453
2,0,6,150.6814513335314,313.33923070125434
2,0,7,442.8779517999576,577.9404346970168
2,0,8,434.8491939215481,526.4584646020173
2,0,9,0.0,311.8156335056364
2,1,0,600.0,334.01813596393134
2,1,1,6.717612375394324,153.3041407257621
2,1,2,164.0502084260072,292.12638085355474
2,1,3,380.4078030463704,280.11963153570116
2,1,4,4.159333211564298,277.65508532757167
2,1,5,88.50115536195027,348.83272954585453
2,1,6,150.6814513335314,313.33923070125434
2,1,7,442.8779517999576,577.9404346970168
2,1,8,434.8491939215481,526.4584646020173
2,1,9,0.0,311.8156335056364
2,2,0,600.0,334.01813596393134
2,2,1,6.717612375394324,153.3041407257621
2,2,2,164.0502084260072,292.12638085355474
2,2,3,380.4078030463704,280.11963153570116
2,2,4,4.159333211564298,277.65508532757167
2,2,5,88.50115536195027,348.83272954585453
2,2,6,150.6814513335314,313.33923070125434
2,2,7,442.8779517999576,577.9404346970168
2,2,8,434.8491939215481,526.4584646020173
2,2,9,0.0,311.8156335056364
3,0,0,600.0,334.01813596393134
3,0,1,117.63824143047981,238.54222261369546
3,0,2,164.0502084260072,292.12638085355474
3,0,3,439.0374339411446,282.883136948266
3,0,4,23.457816886118177,283.5106907450493
3,0,5,88.50115536195027,348.83272954585453
3,0,6,150.6814513335314,313.33923070125434
3,0,7,442.8779517999576,577.9404346970168
3,0,8,434.8491939215481,526.4584646020173
3,0,9,0.0,311.8156335056364
3,1,0,600.0,334.01813596393134
3,1,1,117.63824143047981,238.54222261369546
3,1,2,164.0502084260072,292.12638085355474
