"","Iteration","Best","Average"
"1",1,1.8245857811022,4.1026201245912
"2",2,2.03999089918004,3.91420138631192
"3",3,2.36016885813193,3.72434905322931
"4",4,2.33183849021958,3.50826270460915
"5",5,1.64069647769433,3.32682485639501
"6",6,1.73009290017354,3.1579873423834
"7",7,1.85588656924884,2.96305742722927
"8",8,1.9780796790336,2.86242910777038
"9",9,1.60497245819083,2.7177651520433
"10",10,1.62471779947606,2.58637995446533
"11",11,1.59855465622028,2.45519602915113
"12",12,1.55971846136527,2.33364309813517
"13",13,1.33262229139638,2.21795289320508
"14",14,1.27969975273278,2.04688092814754
"15",15,1.09485322932365,1.91015806421679
"16",16,0.613914044588224,1.75869790214791
"17",17,0.347415158520963,1.58051719214357
"18",18,0.684761184962872,1.41198176464368
"19",19,0.307727620754955,1.28205795072581
"20",20,0.39724463925166,1.17743688777196
"21",21,0.400280966302594,1.06460623323365
"22",22,0.346522485201924,0.977867323368138
"23",23,0.189749039813106,0.865709270157757
"24",24,0.338698917124521,0.782585163293514
"25",25,0.363087641084007,0.700763804405953
"26",26,0.122500728739114,0.623822842981763
"27",27,0,0.552781254783425
"28",28,0,0.448563487902811
"29",29,0,0.385212635527834
"30",30,0,0.332739023480203
"31",31,0,0.289426216857013
"32",32,0,0.258491088745175
"33",33,0.00194334521723549,0.230200665172339
"34",34,0,0.207090860470706
"35",35,0,0.143650312138725
"36",36,0,0.116388673363304
"37",37,0,0.0924582019880065
"38",38,0,0.0735748551658491
"39",39,0,0.0609358723052247
"40",40,0,0.0368796351171863
"41",41,0,0.0227280152606737
"42",42,0,0.017698018936151
"43",43,0,0.00986278715574569
"44",44,0,0.00739560789127294
"45",45,0,0.00490853087676653
"46",46,0,0.00429920407292666
"47",47,0,0.00392996352119571
"48",48,0,0.00209096515571525
"49",49,0,0.00161822872571489
"50",50,0,0.00141800578419604
"51",51,0,0.00104311694387304
"52",52,0,0.000870052270486678
"53",53,0,0.000709461347544365
"54",54,0,0.000374466085032003
"55",55,0,0.000345001707551295
"56",56,0,0.000239268955342633
"57",57,0,0.00013604538864331
"58",58,0,0.000105248347247303
"59",59,0,8.05843842563286e-05
"60",60,0,4.12386437626162e-05
"61",61,0,2.31324232313108e-05
"62",62,0,1.10501209817293e-05
"63",63,0,5.5448548201109e-06
"64",64,0,4.28032229972067e-06
"65",65,0,3.18504827963947e-06
"66",66,0,2.77258254809823e-06
"67",67,0,2.65896707536007e-06
"68",68,0,2.19349274673794e-06
"69",69,0,1.8205529961285e-06
"70",70,0,1.77044207209179e-06
"71",71,0,1.57372694331689e-06
"72",72,0,1.36331420436569e-06
"73",73,0,1.22899214723257e-06
