"Iteration","Best","Average"
0,0.0316054878523516,16.5429499841499
1,0.0302292175531657,17.3219125619104
2,0.0258612255693552,8.80777858206395
3,0.0258612255693552,4.76304392492601
4,0.0207501877636213,2.63168283152672
5,0.0120897184386643,1.45811402556056
6,0.00806174337076045,0.791820678095292
7,0.00542936572310004,0.446058775549911
8,0.000718962432447643,0.250862365311559
9,0.00174893719286328,0.123167407647063
10,0.000455507602752264,0.0721406025369879
11,7.55846277739364e-05,0.0359326264169434
12,7.55846277739364e-05,0.0247056821911818
13,0.000310667246744258,0.0180701737710546
14,0.000231384641269702,0.0133617510695064
15,4.47488195350784e-05,0.0100897772231187
16,4.47488195350784e-05,0.00842135187847295
17,6.11112052611565e-05,0.00665035037049226
18,0.000108151907205102,0.00592643695691655
19,0.000141359623763181,0.00574084792612223
20,0.000114245864774745,0.0048586972876955
21,7.92028399890013e-05,0.00464646541520564
22,3.44061027978675e-05,0.00345352161788295
23,3.44061027978675e-05,0.00359391169930263
24,3.01664079143161e-05,0.00384753726647402
25,2.97403559068081e-05,0.0036905812244797
26,2.97403559068081e-05,0.00345564795326844
27,5.89209534776667e-05,0.00380687647072878
28,5.77045202716516e-05,0.00376061151076174
29,2.49120513050513e-05,0.0033603904456336
30,8.86678741711763e-07,0.00267980028302413
31,8.86678741711763e-07,0.00362776191071892
32,1.2362979641805e-05,0.00412680425589934
33,1.2362979641805e-05,0.00194373569604399
34,1.11705277446089e-05,0.00203108268700204
35,1.11705277446089e-05,0.00207513365122732
36,1.71680595144218e-05,0.00181557144375653
37,1.71680595144218e-05,0.00158110175324957
38,2.26221022913664e-05,0.0015075738598732
39,2.26221022913664e-05,0.00155451090979389
40,4.55790627585778e-05,0.00145478495517892
41,4.55790627585778e-05,0.0015295935198376
42,5.65404282381581e-05,0.00141466582141815
43,6.09794695113366e-05,0.00112652572485117
44,6.4259698521253e-05,0.0011045073763671
45,6.14899945196333e-05,0.00107323191140845
46,6.14899945196333e-05,0.00104858121693842
47,6.01217404270962e-05,0.000938579621307226
48,5.49470565189579e-05,0.000865643636382046
49,3.57836560533441e-05,0.000762232607418971
50,3.57836560533441e-05,0.000979367848458776
51,2.83912560675508e-05,0.00105888201919753
52,1.47941169806856e-05,0.000997546002412373
53,1.02241758382005e-05,0.000884360475631377
54,1.02241758382005e-05,0.000877160681734898
55,8.74865146179958e-06,0.00085743161756408
56,6.91036587496242e-06,0.000711052958058882
57,6.60786368215821e-06,0.000685719655635144
58,6.50723155330115e-06,0.000659954028646399
59,6.29113406749413e-06,0.000594605069945725
