Iteration,Phase,Id,X,Y,Weight
50,,15,,,
0,0,0,418.3048047310065,0,25.0
0,0,1,439.19636508684306,359.19509051822195,25.0
0,0,2,600,600,25.0
0,0,3,34.85016730091968,519.7056874649611,25.0
0,0,4,600,317.1180354089097,25.0
0,0,5,0,573.264349497483,25.0
0,0,6,499.465584480253,127.40346640696569,25.0
0,0,7,0,402.58281774922784,25.0
0,0,8,182.54534577572264,314.8538589793427,25.0
0,0,9,343.24551400317284,0,25.0
0,0,10,367.11173683342764,83.6963163912251,25.0
0,0,11,175.28678912113088,219.81710597621503,25.0
0,0,12,449.86195239017485,600,25.0
0,0,13,119.80426929501584,308.54066304816695,25.0
0,0,14,355.4487413172255,27.870247631998634,25.0
0,1,0,434.86883076621956,0,25.63612832097136
0,1,1,439.19636508684306,359.19509051822195,25.0
0,1,2,600,600,25.0000003895704
0,1,3,34.85016730091968,519.7056874649611,25.0
0,1,4,600,302.62772775824675,26.0
0,1,5,0,573.2460679180481,25.01565513475941
0,1,6,499.465584480253,127.40346640696569,25.0
0,1,7,0,402.58294674131287,25.000003278072825
0,1,8,182.54534577572264,314.8538589793427,25.0
0,1,9,343.40473965096476,0,25.01407890934435
0,1,10,367.11173683342764,83.6963163912251,25.0
0,1,11,175.28678912113088,219.81710597621503,25.0
0,1,12,469.1149325430874,600,25.812238961456604
0,1,13,119.80426929501584,308.54066304816695,25.0
0,1,14,355.4487413172255,27.870247631998634,25.0
0,2,0,215.4095662944523,361.6112902792445,25.63612832097136
0,2,1,0,257.971590279427,25.0
0,2,2,232.6159557722642,0,25.0000003895704
0,2,3,208.95541536473024,0,25.0
0,2,4,502.5085347993281,273.8282608119948,26.0
0,2,5,600,325.45463469529284,25.01565513475941
0,2,6,494.7424269357609,600,25.0
0,2,7,600,53.40264174035916,25.000003278072825
0,2,8,600,308.6193196940413,25.0
0,2,9,288.54419979502694,154.41204947153798,25.01407890934435
0,2,10,142.94295658841065,600,25.0
0,2,11,374.97982327130666,241.6472169534676,25.0
0,2,12,245.5999639936559,155.35819153469603,25.812238961456604
0,2,13,600,272.9711130863823,25.0
0,2,14,171.5822020123748,597.9406314716898,25.0
1,0,0,215.4095662944523,361.6112902792445,25.63612832097136
