Iteration,Phase,Id,Fitness
0,0,0,-9.473913372881137
0,0,1,-12.244035772254458
0,0,2,-8.793424924463407
0,0,3,-14.51841397004552
0,0,4,-9.753298856477908
0,0,5,-12.703128470469808
0,0,6,-12.238912602766192
0,0,7,-14.117326797710628
0,0,8,-19.094140120687335
0,0,9,-12.324593386183855
0,0,10,-10.194901618118383
0,0,11,-8.24982518679391
0,0,12,-11.854987025287624
0,0,13,-10.81503350042236
0,0,14,-9.354603052453214
0,0,15,-14.533123010430334
0,0,16,-8.318677335430746
0,0,17,-11.453562096369458
0,0,18,-17.796779071808324
0,0,19,-17.590520612514936
0,0,20,-13.137156971627608
0,0,21,-16.53886411353446
0,0,22,-9.736373223638319
0,0,23,-15.757827182518858
0,0,24,-17.185011298451304
0,0,25,-14.371928484455779
0,0,26,-13.137426650317343
0,0,27,-17.958099298523994
0,0,28,-11.275468483782372
0,0,29,-14.07943386222276
0,0,30,-14.01549804250358
0,0,31,-10.831328016702724
0,0,32,-9.828199383833203
0,0,33,-17.41883014828683
0,0,34,-16.667042903302494
0,0,35,-14.08021646100553
0,0,36,-11.594418105370297
0,0,37,-13.14429935645446
0,0,38,-12.462601159250461
0,0,39,-9.839344705813915
0,1,0,-9.547918874486491
0,1,1,-12.244035772254458
0,1,2,-8.793424924463407
0,1,3,-13.32321965543644
0,1,4,-9.762316967926475
0,1,5,-12.703128470469808
0,1,6,-12.238912602766192
0,1,7,-14.261488798942917
0,1,8,-18.66410529246172
0,1,9,-12.324593386183855
0,1,10,-10.194901618118383
0,1,11,-8.24982518679391
0,1,12,-11.808037543671396
0,1,13,-10.878589199698814
0,1,14,-9.354603052453214
0,1,15,-14.533123010430334
0,1,16,-8.318677335430746
0,1,17,-11.453562096369458
0,1,18,-17.796779071808324
0,1,19,-17.590520612514936
0,1,20,-13.137156971627608
0,1,21,-16.998001942170358
0,1,22,-9.753432123284375
0,1,23,-16.815514195325544
0,1,24,-17.185011298451304
0,1,25,-13.944159406165914
0,1,26,-13.137426650317343
0,1,27,-17.958099298523994
0,1,28,-11.275468483782372
0,1,29,-14.07943386222276
0,1,30,-14.01549804250358
0,1,31,-10.831328016702724
0,1,32,-9.783634957637993
0,1,33,-17.41883014828683
0,1,34,-16.667042903302494
0,1,35,-14.08021646100553
0,1,36,-11.594418105370297
0,1,37,-13.14429935645446
0,1,38,-12.462601159250461
0,1,39,-9.842317365609036
0,2,0,-9.636154856398349
0,2,1,-14.604607526436645
0,2,2,-9.771008286897139
0,2,3,-16.21103720099157
0,2,4,-7.892336807911004
0,2,5,-9.443878519207273
0,2,6,-13.695770856610338
0,2,7,-14.824085604672334
0,2,8,-15.139665278710384
0,2,9,-9.831943905900255
0,2,10,-19.64766836545554
0,2,11,-8.832876908122113
0,2,12,-9.841416454525232
