Iteration,Phase,Id,Fitness
0,0,0,-16.055189714857836
0,0,1,-15.777339005527473
0,0,2,-11.91757957931519
0,0,3,-15.554491928036247
0,0,4,-11.217389949907268
0,0,5,-17.939938290547662
0,0,6,-12.45388319271165
0,0,7,-11.381627700051116
0,0,8,-12.124181124496022
0,0,9,-9.205699683746872
0,0,10,-13.329565713056494
0,0,11,-17.07697152207158
0,0,12,-16.1139583555371
0,0,13,-13.327118888793848
0,0,14,-15.071106143315722
0,0,15,-13.559733991567796
0,0,16,-9.013433177062545
0,0,17,-11.34641127177676
0,0,18,-17.33432718056117
0,0,19,-17.732289824762407
0,0,20,-13.30566312688892
0,0,21,-12.246930504182341
0,0,22,-13.009759923176851
0,0,23,-12.226419308792824
0,0,24,-17.659653423932745
0,0,25,-10.621956549245903
0,0,26,-17.241539522745672
0,0,27,-10.581329261500272
0,0,28,-14.971267872355723
0,0,29,-15.391436711731568
0,0,30,-16.401075518547863
0,0,31,-12.626101156877072
0,0,32,-13.637773760874424
0,0,33,-12.277121964306916
0,0,34,-11.13989526445687
0,0,35,-12.86800183257504
0,0,36,-12.848794654098626
0,0,37,-13.059951954314961
0,0,38,-14.057043606805074
0,0,39,-16.53509655595357
0,1,0,-16.055189714857836
0,1,1,-15.777339005527473
0,1,2,-11.91757957931519
0,1,3,-18.973947608358046
0,1,4,-11.217389949907268
0,1,5,-18.33945012453856
0,1,6,-12.45388319271165
0,1,7,-11.381627700051116
0,1,8,-18.805756887142493
0,1,9,-9.205699683746872
0,1,10,-15.94527784591959
0,1,11,-17.07697152207158
0,1,12,-16.1139583555371
0,1,13,-13.327118888793848
0,1,14,-17.430201746404624
0,1,15,-13.559733991567796
0,1,16,-9.013433177062545
0,1,17,-11.34641127177676
0,1,18,-18.496978633010894
0,1,19,-18.774844239883887
0,1,20,-13.30566312688892
0,1,21,-12.246930504182341
0,1,22,-13.009759923176851
0,1,23,-12.226419308792824
0,1,24,-17.659653423932745
0,1,25,-10.621956549245903
0,1,26,-17.241539522745672
0,1,27,-10.581329261500272
0,1,28,-15.681421445523657
0,1,29,-16.854941039466574
0,1,30,-16.401075518547863
0,1,31,-12.626101156877072
0,1,32,-13.637773760874424
0,1,33,-12.277121964306916
0,1,34,-11.13989526445687
0,1,35,-12.86800183257504
0,1,36,-12.848794654098626
0,1,37,-13.059951954314961
0,1,38,-14.057043606805074
0,1,39,-17.277403344894896
0,2,0,-16.055189714857836
0,2,1,-15.777339005527473
0,2,2,-11.91757957931519
0,2,3,-18.973947608358046
0,2,4,-11.217389949907268
0,2,5,-18.33945012453856
0,2,6,-12.45388319271165
0,2,7,-11.381627700051116
0,2,8,-18.805756887142493
0,2,9,-9.205699683746872
0,2,10,-15.94527784591959
0,2,11,-17.07697152207158
0,2,12,-16.1139583555371
0,2,13,-13.327118888793848
0,2,14,-17.430201746404624
0,2,15,-13.559733991567796
0,2,16,-9.013433177062545
0,2,17,-11.34641127177676
0,2,18,-18.496978633010894
0,2,19,-18.774844239883887
0,2,20,-13.30566312688892
0,2,21,-12.246930504182341
0,2,22,-13.009759923176851
0,2,23,-12.226419308792824
0,2,24,-17.659653423932745
0,2,25,-10.621956549245903
0,2,26,-17.241539522745672
0,2,27,-10.581329261500272
0,2,28,-15.681421445523657
0,2,29,-16.854941039466574
0,2,30,-16.401075518547863
0,2,31,-12.626101156877072
0,2,32,-13.637773760874424
0,2,33,-12.277121964306916
0,2,34,-11.13989526445687
0,2,35,-12.86800183257504
0,2,36,-12.848794654098626
0,2,37,-13.059951954314961
0,2,38,-14.057043606805074
0,2,39,-17.277403344894896
1,0,0,-17.421566183203275
1,0,1,-15.777339005527473
1,0,2,-16.146828705133856
1,0,3,-18.973947608358046
1,0,4,-12.916743024257386
1,0,5,-18.33945012453856
1,0,6,-12.45388319271165
1,0,7,-11.381627700051116
1,0,8,-18.805756887142493
1,0,9,-9.205699683746872
1,0,10,-15.94527784591959
1,0,11,-17.921392789952794
1,0,12,-16.1139583555371
1,0,13,-13.327118888793848
1,0,14,-17.430201746404624
1,0,15,-13.559733991567796
1,0,16,-9.328086901871949
1,0,17,-13.29420512922755
1,0,18,-18.496978633010894
1,0,19,-18.774844239883887
1,0,20,-16.75828954484183
1,0,21,-12.246930504182341
1,0,22,-18.47808576175315
1,0,23,-12.226419308792824
1,0,24,-17.659653423932745
1,0,25,-10.621956549245903
1,0,26,-17.241539522745672
1,0,27,-10.581329261500272
1,0,28,-15.681421445523657
1,0,29,-16.854941039466574
1,0,30,-16.401075518547863
1,0,31,-12.626101156877072
1,0,32,-13.637773760874424
1,0,33,-14.434620532414112
1,0,34,-14.172837445071483
1,0,35,-12.86800183257504
1,0,36,-12.848794654098626
1,0,37,-13.059951954314961
1,0,38,-14.057043606805074
1,0,39,-17.277403344894896
1,1,0,-17.421566183203275
1,1,1,-15.777339005527473
1,1,2,-16.146828705133856
1,1,3,-19.32647194669444
1,1,4,-12.916743024257386
1,1,5,-18.33945012453856
1,1,6,-16.938968833179672
1,1,7,-11.381627700051116
1,1,8,-18.805756887142493
1,1,9,-9.205699683746872
1,1,10,-15.94527784591959
1,1,11,-17.921392789952794
1,1,12,-16.218675160807795
1,1,13,-13.327118888793848
1,1,14,-17.430201746404624
1,1,15,-18.233401110506694
1,1,16,-11.728118206577449
1,1,17,-13.29420512922755
1,1,18,-18.496978633010894
1,1,19,-18.774844239883887
1,1,20,-18.040517595283397
1,1,21,-15.52877502276462
1,1,22,-18.47808576175315
1,1,23,-12.226419308792824
1,1,24,-18.67522043693658
1,1,25,-10.621956549245903
1,1,26,-17.77172960191954
1,1,27,-10.581329261500272
1,1,28,-15.681421445523657
1,1,29,-16.854941039466574
1,1,30,-16.401075518547863
1,1,31,-12.626101156877072
1,1,32,-13.637773760874424
1,1,33,-14.434620532414112
1,1,34,-14.172837445071483
1,1,35,-12.86800183257504
1,1,36,-12.848794654098626
1,1,37,-13.662072969622145
1,1,38,-14.057043606805074
1,1,39,-17.52039667659602
1,2,0,-17.421566183203275
1,2,1,-15.777339005527473
1,2,2,-16.146828705133856
1,2,3,-19.32647194669444
1,2,4,-12.916743024257386
1,2,5,-18.33945012453856
