Iteration,Fitness
0,-17.951148691202924
0,-17.597372876116765
0,-17.343511077047037
0,-16.59475199473613
0,-16.411133040923772
0,-16.182374866639123
0,-16.029227991347796
0,-15.960988474900173
0,-15.916118170673126
0,-14.769008923593052
0,-14.039755701340852
0,-13.940297002854894
0,-13.73457621765673
0,-13.628387966101286
0,-13.011772757330302
0,-12.947376299304654
0,-12.865536876893982
0,-12.444631928171066
0,-12.06678082652054
0,-11.601991812716644
0,-11.575686982400573
0,-11.50366779174002
0,-11.348316438431068
0,-10.882780003292341
0,-10.802452239772606
0,-10.699884678831431
0,-10.671551761606526
0,-10.638599035331818
0,-10.627155789450644
0,-10.19316831437994
0,-9.800471566501868
0,-9.716325346839088
0,-9.686134653435655
0,-9.387038931602254
0,-9.35817564142467
0,-8.775571430990777
0,-8.347304525238833
0,-8.287116031424064
0,-8.099750492760093
0,-7.7049655634013465
1,-19.534594110738027
1,-19.317879353440684
1,-19.28298989026981
1,-19.271698418694882
1,-19.111963646015024
1,-18.885222587686055
1,-18.769646219035494
1,-18.765640837616047
1,-18.73650478905226
1,-18.619314830969365
1,-18.147955298367382
1,-17.941713694443123
1,-17.92002654559841
1,-17.65934110633483
1,-17.4512097598764
1,-17.280082288082575
1,-16.922230809878307
1,-16.869674647272156
1,-16.859203726609596
1,-16.854169200492073
1,-16.729629261440586
1,-16.52207391971961
1,-16.485190623912892
1,-16.36671524698147
1,-15.429216685242565
1,-15.083862188513661
1,-14.56729633589324
1,-14.387288875527918
1,-14.37456745118174
1,-14.039755701340852
1,-14.009038204492562
1,-13.86222905377136
1,-13.628387966101286
1,-13.550744276989251
1,-12.66834714361863
1,-12.639027752627737
1,-11.348316438431068
1,-10.605034211656903
1,-9.716325346839088
1,-9.327068367708861
2,-19.912915276914287
2,-19.87255194958641
2,-19.839337458614526
2,-19.82625070430686
2,-19.678528369786253
2,-19.67486302222615
2,-19.622515240078716
2,-19.561005233124263
2,-19.489817614469956
2,-19.46728605956929
2,-19.335631158969623
2,-19.28298989026981
2,-19.111963646015024
2,-19.037945859471186
2,-18.942005227517924
2,-18.933688592457955
2,-18.853486052978592
2,-18.83851320866097
2,-18.765640837616047
2,-18.649549449859126
2,-18.637284336246218
2,-18.437914567460957
2,-18.199466627195974
2,-18.147955298367382
2,-18.030497920941176
2,-17.791245484531263
2,-17.759889193279317
2,-17.280082288082575
2,-16.922230809878307
2,-16.729629261440586
2,-16.683022774903232
2,-16.485190623912892
2,-16.26728989857118
2,-15.519841759606443
2,-15.453581931561045
2,-14.949796748639754
2,-14.387288875527918
2,-13.355217787296516
2,-12.69154767261486
2,-9.716325346839088
3,-19.958386326339607
3,-19.92406063855209
3,-19.912915276914287
3,-19.89912747620543
3,-19.88546069615882
3,-19.867092009860624
3,-19.85169413194528
3,-19.844058806391796
3,-19.82625070430686
3,-19.800740433003124
3,-19.791439895586297
3,-19.787017642761228
3,-19.729295408449907
3,-19.64223182754393
3,-19.63560054130101
3,-19.624952722553488
3,-19.596558858293257
3,-19.523349374320837
3,-19.46728605956929
3,-19.462874255066662
3,-19.378120646914454
3,-19.373465089098023
3,-19.371519348794013
3,-19.343059821725134
3,-19.269294819785316
3,-19.165651362201817
3,-19.092971134932757
3,-18.96137738486093
3,-18.93537274141095
3,-18.926323301188813
3,-18.483738777022836
3,-18.389555816463698
3,-18.26644313146337
3,-17.388788863905177
3,-16.860006008088305
3,-16.485190623912892
3,-16.134591970501624
3,-16.016778410886875
3,-14.387288875527918
3,-9.716325346839088
4,-19.994333239758976
4,-19.98972316007771
4,-19.958386326339607
4,-19.95753908713128
4,-19.948679090080514
4,-19.948615289525005
4,-19.935290315728345
4,-19.92406063855209
4,-19.92327927011265
4,-19.89912747620543
4,-19.897326400439873
4,-19.882546493789317
4,-19.86986735886718
4,-19.868169621257778
4,-19.85450386908315
4,-19.844058806391796
4,-19.829248667024963
4,-19.82197589184235
4,-19.803807432242643
4,-19.79364232436378
4,-19.79205401845459
4,-19.775804835800887
4,-19.759881514310777
4,-19.652095853162542
4,-19.54981833799604
4,-19.523349374320837
4,-19.500402441001835
4,-19.42458627393735
4,-19.39277944234693
4,-19.343059821725134
4,-19.339569966175954
4,-19.228307879592585
4,-19.195246194696352
4,-19.083290419721763
4,-18.94203426168239
4,-18.858076138662796
4,-18.153792573084885
4,-17.883221905908314
4,-16.134591970501624
4,-14.387288875527918
5,-19.994333239758976
5,-19.98972316007771
5,-19.987875417668175
5,-19.972147178708564
5,-19.971020482420982
5,-19.968952710500904
5,-19.964637685073644
5,-19.958456836900005
5,-19.95753908713128
5,-19.955987817900503
5,-19.95110433366848
5,-19.948679090080514
5,-19.948615289525005
5,-19.928425987036544
5,-19.919527488450893
5,-19.918044608159438
5,-19.9051278902005
5,-19.897848817028308
5,-19.897326400439873
5,-19.891626744116472
5,-19.88114644894816
5,-19.870146149582006
5,-19.869762662412878
5,-19.863819159067784
5,-19.85814902121539
5,-19.832552852794024
5,-19.815028836295884
5,-19.802414288649388
5,-19.799120840515727
5,-19.798907714449033
5,-19.796895003170416
5,-19.702302634796183
5,-19.692473377812345
5,-19.523349374320837
5,-19.51375597657242
5,-18.94203426168239
5,-18.58744423149313
5,-18.274927246306824
5,-17.32706445666355
5,-15.875014447166016
6,-19.998764745965044
6,-19.99775643100567
6,-19.997269749625616
6,-19.995017426340656
6,-19.994333239758976
6,-19.992909028977838
6,-19.99065735451132
6,-19.990335205473986
6,-19.98972316007771
6,-19.989266230472587
6,-19.986569979551035
6,-19.98360958732859
6,-19.98001363116934
6,-19.979913401599934
6,-19.976034875979114
6,-19.975131696596684
6,-19.972595761513347
6,-19.968996093390366
6,-19.96055474897449
6,-19.96042137202395
6,-19.95911041255102
6,-19.94388853615871
6,-19.937467173226853
6,-19.933026400391174
6,-19.925211817919145
6,-19.919527488450893
6,-19.91613258262564
6,-19.90667299027327
6,-19.874210882574307
6,-19.86292209354955
6,-19.85814902121539
6,-19.83556183516711
6,-19.83544668269712
6,-19.825195977005954
6,-19.798907714449033
6,-19.79262445054777
6,-19.360466173222164
6,-18.94203426168239
6,-18.89642333807664
6,-18.274927246306824
7,-19.999227282191875
7,-19.99894190062165
7,-19.998764745965044
7,-19.9984739905656
7,-19.9983674348087
7,-19.998203873137427
7,-19.99811681017625
7,-19.99775643100567
7,-19.99714241341446
7,-19.99589600945282
7,-19.994862397050415
7,-19.99448281029819
7,-19.993773298094123
7,-19.993510931808082
7,-19.993339897424864
7,-19.99256295844612
7,-19.991991782209904
7,-19.991528485702048
7,-19.991164485563058
7,-19.99057445657991
7,-19.98960402534752
7,-19.98941186167179
7,-19.988893498333542
7,-19.985302076366988
7,-19.984221762360185
7,-19.981792817497073
7,-19.97857022505309
7,-19.97259443209455
7,-19.972086851229488
7,-19.96257688046792
7,-19.948778276092145
7,-19.933875316057687
7,-19.901437149196745
7,-19.899112486376826
7,-19.882415918358138
7,-19.823700345120436
7,-19.788816122471612
7,-19.671609103209736
7,-19.640573807238276
7,-19.093585322943845
8,-19.999816246680442
8,-19.999810357952835
8,-19.999639379006297
8,-19.999551762116848
8,-19.999487494501505
8,-19.99937639474844
8,-19.999240446795834
8,-19.99907412271402
8,-19.999017435568202
8,-19.998935988468173
8,-19.998879126865376
8,-19.998808980989413
8,-19.99843330188031
8,-19.998203873137427
8,-19.998188445567962
8,-19.998186245538992
8,-19.997681289570227
8,-19.997602418272443
8,-19.997463884395682
8,-19.99705840960796
8,-19.99673936313454
8,-19.996253862748844
8,-19.996069478074695
8,-19.99589600945282
8,-19.995517437113566
8,-19.993785547666874
8,-19.99313251722992
8,-19.992666234929747
8,-19.992480539667593
8,-19.987727919376763
8,-19.979167326620644
8,-19.97267298235846
8,-19.966386026759146
8,-19.955660605299997
8,-19.9281465503103
8,-19.92261722708959
8,-19.868234047854042
8,-19.865136068032957
8,-19.80986936201579
8,-19.640573807238276
9,-19.99996761063163
9,-19.999963026478923
9,-19.99992930580519
9,-19.999923136562707
9,-19.999816246680442
9,-19.99980654269792
9,-19.999802688805808
9,-19.99979519558662
9,-19.999667369192625
9,-19.999629017378343
9,-19.999625384486276
9,-19.9995430732367
9,-19.999521404044096
9,-19.999468396278502
9,-19.999398723415112
9,-19.999396550640395
9,-19.999186911275107
9,-19.999161304675784
9,-19.999157329944026
9,-19.999028762019847
9,-19.999017435568202
9,-19.99896110980027
9,-19.998954908567917
9,-19.998687715602067
9,-19.998479667248777
9,-19.99817117441292
9,-19.99673897889883
9,-19.995933827672737
9,-19.995815747216927
9,-19.99552783237329
9,-19.987727919376763
9,-19.98759827091902
9,-19.982677407601223
9,-19.980815735326487
9,-19.97227809240902
9,-19.96695686346183
9,-19.961818045360552
9,-19.952323632976178
9,-19.93985490744006
9,-19.861370371613674
10,-19.999993235956733
10,-19.99996761063163
10,-19.999963026478923
10,-19.99994231522472
10,-19.99992313759545
10,-19.999923136562707
10,-19.99991406852989
10,-19.999890676919225
10,-19.99988902626859
10,-19.999887987631844
10,-19.999885476812626
10,-19.99988349950642
10,-19.9998592597
10,-19.999848092449305
10,-19.999840922454585
10,-19.99980018171926
10,-19.999790736346842
10,-19.999724577298444
10,-19.999697711142087
10,-19.999691167605093
10,-19.999600017737723
10,-19.999577597410553
10,-19.999562764690538
10,-19.999509015550842
10,-19.99936992865881
10,-19.999078426786962
10,-19.99896321249422
10,-19.99673897889883
10,-19.996657289654852
10,-19.9963458527382
10,-19.996265921469966
10,-19.995208042198104
10,-19.99503957862406
10,-19.993016787380345
10,-19.992196144209483
10,-19.991189272034656
10,-19.986001708314276
10,-19.975156087988577
10,-19.967315852127193
10,-19.954649966391145
11,-19.999993235956733
11,-19.999990909671936
11,-19.999988866888035
11,-19.999987389250066
11,-19.99998473079359
11,-19.99998328493386
11,-19.99998139800123
11,-19.99998015096384
11,-19.99997833246534
11,-19.999976512936918
11,-19.999969393879702
11,-19.99996719443596
11,-19.999963026478923
11,-19.999963012330824
11,-19.99996057661108
11,-19.99995020954976
11,-19.999942719961282
11,-19.99992313759545
11,-19.999919630567376
11,-19.999917292711206
11,-19.999841100375072
11,-19.99983898369176
11,-19.99983440034528
11,-19.99975188239024
11,-19.999743602635405
11,-19.99962372538392
11,-19.999575097600356
11,-19.999063637119193
11,-19.99896321249422
11,-19.99870793360264
11,-19.998486997116274
11,-19.998476869930283
11,-19.998255371421962
11,-19.998184023748657
11,-19.997732190237723
11,-19.99450787539869
11,-19.99403319260996
11,-19.991851207987917
11,-19.988279246988373
11,-19.987657497206595
12,-19.999994321018605
12,-19.999993235956733
12,-19.999992889039337
